ID	Type	RA	Decl	I	V	V_I	P	A_1	A_2
OGLE-LMC-ECL-04430	C	04:59:03.06	-68:15:18.9	17.358	18.403	1.045	20.17991910	0.114	0.105
OGLE-LMC-ECL-04438	C	04:59:04.47	-68:56:32.5	18.379	18.393	0.014	0.52856190	0.391	0.365
OGLE-LMC-ECL-04559	C	04:59:26.73	-70:12:02.9	17.281	17.245	-0.036	0.38143840	0.217	0.215
OGLE-LMC-ECL-04743	C	04:59:59.31	-68:08:06.6	18.405	19.519	1.114	95.73977390	0.083	0.077
OGLE-LMC-ECL-04811	ELL	05:00:10.76	-69:06:59.9	15.758	17.077	1.319	129.59327900	0.156	0.110
OGLE-LMC-ECL-04824	ELL	05:00:12.76	-69:27:09.7	18.133	19.288	1.155	152.45520810	0.084	0.072
OGLE-LMC-ECL-04856	C	05:00:17.59	-70:41:17.8	17.247	17.504	0.257	0.45027340	0.161	0.161
OGLE-LMC-ECL-04858	ELL	05:00:18.16	-66:41:04.4	17.912	17.929	0.017	2.15724470	0.087	0.085
OGLE-LMC-ECL-04927	C	05:00:27.90	-70:21:44.8	18.135	18.179	0.044	1.53636040	0.271	0.252
OGLE-LMC-ECL-04974	C	05:00:36.98	-69:57:50.9	16.769	18.024	1.255	76.23907140	0.086	0.078
OGLE-LMC-ECL-05109	C	05:01:00.20	-69:22:43.5	17.470	17.461	-0.009	1.12510670	0.190	0.183
OGLE-LMC-ECL-05322	C	05:01:36.42	-67:37:18.8	17.330	17.236	-0.094	0.82967980	0.602	0.590
OGLE-LMC-ECL-05343	C	05:01:39.43	-68:36:23.7	17.893	18.933	1.040	17.77662920	0.138	0.104
OGLE-LMC-ECL-05349	ELL	05:01:40.81	-68:21:50.8	16.180	16.871	0.691	0.41822120	0.122	0.117
OGLE-LMC-ECL-05389	C	05:01:47.05	-70:54:08.7	16.334	16.222	-0.112	0.91877110	0.369	0.360
OGLE-LMC-ECL-05417	C	05:01:49.92	-67:27:16.1	17.418	18.565	1.147	41.51804440	0.344	0.233
OGLE-LMC-ECL-05418	C	05:01:50.08	-70:37:22.1	17.443	17.348	-0.095	0.69363840	0.199	0.196
OGLE-LMC-ECL-05863	ELL	05:02:55.48	-68:31:42.6	16.487	18.166	1.679	178.33601070	0.091	0.044
OGLE-LMC-ECL-06121	C	05:03:30.51	-69:54:54.7	18.097	18.077	-0.020	0.52179490	0.682	0.675
OGLE-LMC-ECL-06263	C	05:03:48.67	-68:59:24.6	18.385	18.592	0.207	1.87599240	0.131	0.098
OGLE-LMC-ECL-06315	ELL	05:03:55.76	-66:39:02.9	17.721	18.776	1.055	18.79545440	0.121	0.102
OGLE-LMC-ECL-06496	C	05:04:23.39	-70:14:04.9	17.696	17.797	0.101	1.64549070	0.202	0.193
OGLE-LMC-ECL-06667	C	05:04:43.35	-70:19:48.3	17.488	17.411	-0.077	0.50724860	0.349	0.344
OGLE-LMC-ECL-06731	C	05:04:50.84	-70:08:58.9	15.579	15.441	-0.138	1.16686640	0.233	0.225
OGLE-LMC-ECL-06745	C	05:04:52.91	-70:33:01.8	17.863	17.795	-0.068	0.62086280	0.224	0.204
